S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
143.,Star Cement,89.80,3703.61,82.22,6.00,1.00,16.37,104.50,39.16,35.61,13.84,14.04,395994,19.32,67.64,1.09,16.05,19.75,0.00
144.,DCM Shriram,370.75,5781.56,469.15,4.00,2.00,16.28,431.10,72.23,0.39,9.47,9.91,268570,23.63,194.41,0.79,19.00,22.97,0.28
145.,Torrent Pharma.,2615.10,44252.72,720.96,9.00,5.00,16.25,3040.00,-3.43,27.05,4.43,37.00,512589,13.65,319.52,3.63,20.99,16.04,0.71
146.,Sheela Foam,1531.85,7472.79,412.02,6.00,5.00,16.20,1779.95,508.74,18.90,14.96,39.81,67632,28.93,64.70,3.72,23.03,22.50,0.28
147.,Alembic,106.15,2725.74,154.97,6.00,2.00,15.69,122.80,9.34,-11.10,30.01,7.39,2363590,5.07,-0.44,0.68,24.95,20.19,0.00
148.,Transport Corp.,251.70,1938.00,212.09,5.00,2.00,15.61,291.00,797.06,-19.62,22.88,17.23,17809,15.80,26.81,1.19,15.87,16.89,0.26
149.,Pfizer,5104.50,23351.93,1070.77,6.00,10.00,15.58,5900.00,5.56,-14.83,26.23,46.90,76183,21.66,116.88,4.77,15.92,15.10,0.00
150.,Share India Sec.,105.70,337.25,163.95,7.00,10.00,15.37,121.95,3.66,89.22,71.28,6.20,28792,25.52,15.53,0.64,22.78,22.93,0.60
151.,RACL Geartech,117.90,127.12,167.41,7.00,10.00,15.31,135.95,268.21,8.38,51.94,8.07,20059,17.25,4.13,0.7,23.78,19.31,0.84
152.,Refex Industries,88.45,185.76,147.06,5.00,10.00,15.21,101.90,202.65,46.08,332.21,5.46,553352,54.18,24.86,0.6,62.66,72.03,0.07
153.,United Drilling,264.50,537.02,184.91,7.00,10.00,15.09,304.40,25.17,-31.36,29.44,14.07,33265,23.98,13.55,1.43,30.58,22.04,0.00
154.,Yash Pakka,61.00,214.96,62.89,9.00,10.00,15.08,70.20,176.52,-43.01,49.29,11.91,81119,20.62,5.40,0.97,26.29,24.07,0.56
155.,IOL Chemicals,781.55,4588.13,566.38,7.00,10.00,15.02,898.90,-0.45,44.77,322.81,10.36,675999,48.63,159.74,1.38,56.93,53.19,0.02
156.,Ajanta Pharma,1536.10,13405.05,691.03,5.00,2.00,14.57,1759.95,15.20,45.33,-2.63,24.08,137080,28.28,203.95,2.22,19.43,20.82,0.01
157.,Sudarshan Chem.,470.60,3257.83,177.96,6.00,2.00,14.32,538.00,66.65,-34.36,8.11,30.83,230569,17.33,35.25,2.64,22.33,19.79,0.78
158.,Maithan Alloys,546.20,1590.07,864.9,4.00,10.00,14.24,624.00,56.26,31.06,1.26,7.29,39470,31.67,47.17,0.63,15.41,25.02,0.01
159.,ERIS Lifescience,521.35,7078.92,233.63,5.00,1.00,14.13,595.00,21.01,16.19,6.17,22.38,62258,28.20,80.82,2.23,23.87,29.70,0.01
160.,P I Industries,2208.40,33504.39,556.57,4.00,1.00,13.97,2517.00,49.55,76.62,-0.31,56.32,2411350,24.04,182.75,3.97,18.55,19.26,0.08
161.,Welspun India,68.65,6897.44,53.57,7.00,1.00,13.62,78.00,266.06,-7.26,-10.09,18.32,798133,12.16,79.87,1.28,16.82,15.71,0.84
162.,Rane Brake Lin.,690.90,546.50,442.15,6.00,10.00,13.61,784.90,267.34,54.56,-9.58,22.58,28581,25.41,-0.42,1.56,15.69,18.19,0.00
163.,Pokarna,141.40,438.40,132.13,6.00,2.00,13.54,160.55,325.78,-31.38,0.24,20.49,46794,21.81,0.41,1.07,23.22,27.39,0.78
164.,Guj. Themis Bio.,267.85,389.15,150.75,8.00,5.00,13.42,303.80,103.77,609.38,73.94,10.36,32606,65.66,32.77,1.78,75.93,59.70,0.01
165.,Rajratan Global,406.65,412.92,344.05,8.00,10.00,13.37,461.00,720.61,39.88,20.53,14.38,12383,17.75,7.55,1.18,20.92,19.26,0.77
166.,Bhageria Indust.,136.70,596.62,161.16,4.00,5.00,13.35,154.95,183.01,-5.83,17.05,11.15,31944,21.87,14.00,0.85,17.64,18.12,0.04
167.,Mindtree,1417.30,23345.73,516.28,4.00,10.00,13.30,1605.85,19.11,87.93,14.65,26.84,1473416,28.39,266.44,2.75,19.52,21.93,0.16
168.,Hindustan Foods,882.00,1869.67,172.78,5.00,10.00,13.25,998.85,95.09,70.06,223.72,71.61,13679,19.21,13.90,5.1,18.23,19.49,0.79
169.,Alembic Pharma,998.10,19618.97,548.11,6.00,2.00,13.10,1128.90,10.59,29.87,27.37,18.55,329900,23.15,366.49,1.82,28.08,24.32,0.13
170.,Petronet LNG,251.25,37687.50,168.53,7.00,10.00,12.74,283.25,83.97,-19.71,16.94,15.25,7573723,29.54,746.38,1.49,25.81,23.91,0.28
171.,Hindustan Zinc,229.70,97055.58,169.99,5.00,2.00,12.73,258.95,42.75,-6.78,-5.92,15.51,1179704,27.42,1461.23,1.35,18.00,22.03,0.25
172.,Relaxo Footwear,737.60,18325.09,101.45,6.00,1.00,12.55,830.15,210.07,6.46,23.56,89.27,181945,25.90,61.13,7.27,19.03,20.05,0.13
173.,Amal,186.60,175.87,66.01,6.00,10.00,12.54,210.00,16.67,-46.61,-0.49,28.50,12863,54.28,2.05,2.83,35.36,56.40,0.13
174.,Sumitomo Chemi.,282.85,14118.34,57.71,5.00,10.00,12.23,317.45,101.27,20.87,54.29,54.30,378919,29.42,61.94,4.9,22.41,20.33,0.03
175.,Oracle Fin.Serv.,3040.15,26145.73,1698.36,6.00,5.00,11.90,3402.05,-18.28,9.26,6.11,16.36,41330,43.82,523.51,1.79,25.42,28.05,0.02
176.,Avenue Super.,2289.20,148288.58,234.54,5.00,10.00,11.83,2560.00,395.26,-38.47,39.65,165.89,658166,22.86,360.48,9.76,15.50,16.82,0.03
177.,Mastek,964.15,2387.09,742.63,4.00,5.00,11.50,1075.00,26.02,140.06,57.11,12.82,70274,17.67,44.61,1.3,16.78,15.26,0.26
178.,Aurobindo Pharma,868.55,50891.70,614.54,7.00,1.00,11.40,967.60,3.29,24.14,7.31,16.20,4597784,19.70,1101.35,1.41,18.56,19.92,0.28
179.,Cummins India,586.00,16243.92,278.12,3.00,2.00,11.40,652.80,227.71,-5.29,-1.61,26.59,2155585,20.56,85.69,2.11,16.11,16.73,0.12
180.,Mphasis,1315.70,24559.64,678.26,7.00,10.00,11.33,1464.80,8.76,9.48,13.93,20.11,429570,23.08,399.66,1.94,21.37,18.55,0.10
181.,Atul,6310.35,18716.50,2337.56,8.00,10.00,11.27,7021.25,48.03,-16.65,27.31,30.93,32270,25.30,183.75,2.7,22.59,18.34,0.03
182.,Vadilal Inds.,808.95,581.64,,8.00,10.00,11.13,898.95,105.96,-97.02,29.58,,31825,16.52,-10.89,,18.13,15.40,0.57
183.,Sonata Software,341.45,3590.66,200.32,5.00,1.00,10.91,378.70,14.58,-20.82,22.45,14.67,535563,45.61,118.35,1.7,37.98,34.22,0.18
184.,Poly Medicure,489.60,4320.57,125.29,5.00,5.00,10.86,542.75,31.07,23.27,20.87,39.49,49553,24.14,36.25,3.91,23.47,21.54,0.29
185.,Pidilite Inds.,1542.55,78381.90,192.85,7.00,1.00,10.85,1709.90,1230.92,3.65,10.32,87.53,1339108,35.58,309.25,8.0,26.98,26.22,0.05
186.,HCL Technologies,822.10,223090.41,459.21,4.00,2.00,10.78,910.75,7.23,16.05,8.53,18.29,8595887,29.42,4048.77,1.79,23.66,24.65,0.10
187.,Jindal Stain. Hi,118.85,2804.08,156.97,7.00,2.00,10.77,131.65,280.15,57.43,12.49,11.18,656889,22.30,8.24,0.76,18.77,27.19,0.89
188.,Amrutanjan Healt,504.70,1475.27,153.73,5.00,1.00,10.70,558.70,266.25,180.36,4.83,31.15,118470,24.37,13.98,3.28,16.44,16.60,0.01
189.,Britannia Inds.,3637.95,87626.68,431.29,4.00,1.00,10.36,4015.00,-8.72,22.78,16.71,49.21,1666676,42.26,515.07,8.43,32.49,31.80,0.92
190.,Thyrocare Tech.,1098.25,5802.75,153.28,7.00,10.00,10.36,1212.00,18617.39,22.82,16.86,84.63,304849,32.82,29.54,7.17,22.33,20.68,0.03
191.,CCL Products,266.25,3541.87,150.46,5.00,2.00,10.35,293.80,23.34,12.81,7.25,20.22,351250,19.77,69.63,1.77,18.78,19.90,0.41
192.,Godrej Consumer,699.75,71548.48,168.72,4.00,1.00,10.33,772.00,15.99,9.95,6.17,45.52,1792452,19.91,526.24,4.15,20.51,25.63,0.15
193.,Thangamayil Jew.,444.80,610.27,461.26,6.00,10.00,10.16,490.00,917.81,343.56,48.40,9.12,18182,18.30,23.61,0.96,22.09,18.07,0.87
194.,G M Breweries,427.80,781.91,365.74,6.00,10.00,9.86,470.00,361.32,-43.53,17.10,17.23,96312,32.94,14.12,1.17,17.47,22.60,0.00
195.,L & T Infotech,3200.45,55879.14,885.56,4.00,1.00,9.83,3515.15,9.36,26.75,16.71,33.31,1697811,42.79,544.04,3.61,29.53,31.84,0.14
196.,Astrazeneca Phar,4538.90,11347.25,344.19,9.00,2.00,9.50,4970.00,41.38,82.66,65.92,139.66,145260,27.29,27.84,13.19,21.66,18.11,0.03
197.,KNR Construct.,285.10,4009.00,262.07,6.00,2.00,9.37,311.80,239.33,-5.85,35.78,15.71,173547,19.14,68.86,1.09,18.27,21.08,0.46
198.,Route Mobile,1054.25,6046.88,,5.00,10.00,9.24,1151.70,21.34,151.69,5.22,85.53,460635,29.27,,,28.73,29.36,0.08
199.,Hero Motocorp,3108.85,62104.75,1456.93,4.00,2.00,9.20,3394.90,1520.71,3.49,-4.09,24.45,1714928,36.43,566.55,2.13,22.13,26.68,0.04
200.,L&T Technology,1723.20,18073.73,662.93,5.00,2.00,9.06,1879.40,41.21,-19.35,24.63,25.95,161614,42.26,207.57,2.6,31.40,32.08,0.17
201.,Advanced Enzyme,352.90,3942.74,148.48,6.00,2.00,9.03,384.75,8.58,21.11,12.71,28.04,482851,24.50,47.51,2.38,17.53,18.13,0.02
202.,Wipro,350.50,200322.60,201.01,7.00,2.00,8.90,381.70,3.15,-3.00,4.68,20.64,9890394,18.67,2552.91,1.74,17.49,16.97,0.12
203.,Sanofi India,8267.35,19039.71,2260.39,7.00,10.00,8.85,8999.00,-2.49,-14.79,14.14,38.65,40560,27.94,172.97,3.66,19.40,18.11,0.01
204.,Alkem Lab,2841.65,33976.19,1270.04,6.00,2.00,8.74,3090.00,11.86,26.54,8.22,22.86,121099,17.71,416.20,2.24,19.80,16.42,0.20
205.,HFCL,18.45,2369.68,17.22,4.00,1.00,8.67,20.05,141.82,-16.02,25.06,18.04,9167390,21.28,18.23,1.07,15.30,16.48,0.47
206.,Astral Poly Tech,1469.45,22141.79,189.58,6.00,1.00,8.49,1594.15,335.68,6.80,19.80,97.24,171709,22.77,73.79,7.75,18.38,18.26,0.06
207.,Prince Pipes,259.35,2853.52,135.52,5.00,10.00,8.42,281.20,313.96,39.39,15.00,25.85,165335,20.85,,1.91,18.42,21.30,0.19
208.,Advani Hotels.,59.90,276.85,9.71,8.00,2.00,8.35,64.90,19.62,-159.18,8.03,120.37,124722,27.67,,6.17,22.13,21.39,0.01
209.,Gulf Oil Lubric.,791.50,3974.66,340.6,5.00,2.00,8.10,855.60,244.32,-4.61,19.84,23.64,57626,34.34,44.92,2.32,30.07,33.43,0.40
210.,DFM Foods,362.40,1821.82,54.83,5.00,2.00,7.89,391.00,29.00,-30.13,9.52,89.57,63001,22.62,3.48,6.61,17.65,23.53,0.63
211.,Infosys,1100.00,468544.89,396.51,6.00,5.00,7.82,1186.00,14.46,20.34,5.18,26.13,13344122,31.54,5556.15,2.77,25.31,24.16,0.07
212.,Commerl. Synbags,63.15,74.63,117.34,7.00,10.00,7.68,68.00,58.14,16.04,26.14,6.35,35122,17.45,2.82,0.54,17.91,18.04,0.73
213.,Tata Elxsi,1588.25,9891.06,448.16,5.00,10.00,7.67,1710.00,14.53,58.36,14.50,32.40,584940,45.89,95.38,3.54,25.65,31.52,0.05
214.,TCS,2679.65,1005507.77,682.61,3.00,1.00,7.66,2885.00,6.66,3.95,7.14,31.76,3831756,45.02,10122.83,3.93,37.34,34.50,0.08
215.,Indraprastha Gas,496.40,34748.04,160.33,8.00,2.00,7.66,534.40,981.44,-8.51,24.98,34.62,8569122,30.52,254.90,3.1,24.48,21.92,0.02
216.,Eicher Motors,2534.65,69261.04,582.64,4.00,1.00,7.59,2727.00,722.22,-40.05,3.14,63.48,1981418,36.48,239.61,4.35,19.36,25.38,0.02
217.,CRISIL,1975.20,14338.63,424.2,5.00,1.00,7.58,2125.00,36.01,-14.17,6.77,42.17,50660,42.78,96.58,4.66,29.19,30.38,0.00
218.,Bajaj Steel Inds,278.20,144.66,580.06,8.00,5.00,7.48,299.00,117.83,34.21,65.15,4.71,21399,20.14,6.33,0.48,26.16,21.48,0.35
219.,Cams Services,1445.15,7050.42,,7.00,10.00,7.26,1550.00,52.29,30.21,13.79,44.50,322684,50.37,,,35.96,34.19,0.00
220.,Bhansali Engg.,120.00,1990.87,42.89,7.00,1.00,7.25,128.70,2654.68,74.32,23.13,33.84,1714719,36.58,13.16,2.8,20.21,26.17,0.00
221.,Dabur India,499.80,88335.68,87.81,6.00,1.00,7.23,535.95,40.93,10.35,5.85,57.81,4509027,28.23,421.58,5.69,24.86,25.72,0.06
222.,AIA Engineering,1856.35,17509.16,755.98,8.00,2.00,7.20,1989.95,11.37,-3.84,7.54,30.49,72979,19.23,132.86,2.46,15.60,15.20,0.04
223.,Havells India,801.40,50168.68,144.18,4.00,1.00,6.69,855.00,410.10,81.98,9.30,65.27,2230125,25.60,164.14,5.56,17.41,18.72,0.22
224.,Bharat Electron,111.10,27070.55,81.3,5.00,1.00,6.62,118.45,641.79,15.98,6.23,15.71,12479687,26.99,361.67,1.37,18.92,19.67,0.00
225.,HDFC Life Insur.,646.80,130649.11,76.06,6.00,10.00,6.45,688.50,-27.24,6.10,11.21,97.42,5295752,23.98,2256.36,8.5,19.61,22.29,0.08
226.,Supreme Inds.,1630.95,20717.45,396.8,7.00,2.00,6.44,1736.00,331.66,25.35,3.02,45.42,224927,28.52,151.19,4.11,21.18,21.57,0.03
227.,Mold-Tek Pack.,286.30,794.96,138.52,6.00,5.00,6.43,304.70,759.87,22.06,15.16,23.76,35271,21.60,10.38,2.07,20.82,18.78,0.48
228.,Aarti Industries,1155.30,20129.31,335.24,5.00,5.00,6.39,1229.10,71.32,-5.46,18.20,41.96,350733,16.93,169.81,3.45,19.25,21.70,0.68
229.,Bliss GVS Pharma,170.70,1760.71,106.03,4.00,1.00,6.39,181.60,26.68,-29.97,-2.56,23.74,978715,24.39,14.38,1.61,15.09,18.93,0.17
230.,Suumaya Lifesty.,103.50,248.48,45.45,5.00,10.00,6.28,110.00,911.99,1292.52,162.72,30.45,29727,16.71,,2.28,23.56,15.34,0.41
231.,Marksans Pharma,58.95,2412.90,41.34,8.00,1.00,6.28,62.65,2.75,95.34,120.05,14.00,2915101,18.57,58.09,1.43,20.49,15.31,0.03
232.,Varun Beverages,871.40,25156.34,164.41,7.00,10.00,6.07,924.30,8.70,99.05,107.12,113.40,688314,15.10,15.38,5.3,17.68,15.87,0.67
233.,Marico,367.70,47479.16,74.25,5.00,1.00,6.00,389.75,-30.71,17.94,11.19,42.42,3005549,41.85,324.02,4.95,35.18,36.32,0.09
234.,Solex Energy,35.95,17.76,95.34,7.00,10.00,5.70,38.00,,,69.86,3.98,11000,33.49,,0.38,22.23,28.31,0.23
235.,Tube Investments,823.60,15480.92,140.27,6.00,1.00,5.39,868.00,254.82,8.89,26.02,78.02,1109412,18.59,25.92,5.87,20.22,17.30,0.13
236.,Balaji Amines,1001.95,3246.42,457.75,5.00,2.00,5.25,1054.55,38.83,53.79,6.52,25.76,247030,23.97,38.75,2.19,15.81,21.09,0.28
237.,Prime Securities,50.60,134.17,11.09,4.00,5.00,5.24,53.25,127.66,-69.52,9.33,157.85,163534,51.86,1.74,4.56,20.29,53.18,0.01
238.,Galaxy Surfact.,1939.80,6877.51,729.5,7.00,10.00,5.16,2039.85,44.70,21.87,16.19,27.62,29639,25.21,69.31,2.66,23.82,24.06,0.20
239.,Gland Pharma,2113.00,34501.66,,7.00,1.00,5.16,2222.00,,,22.47,45.40,2313965,26.95,,,23.35,18.99,0.00
240.,C D S L,489.70,5117.37,151.48,5.00,10.00,5.14,514.85,5.61,68.17,7.21,35.21,1167260,22.46,27.04,3.23,15.31,17.14,0.00
241.,Ratnamani Metals,1689.50,7894.70,716.75,5.00,2.00,5.08,1775.40,14.10,-25.82,28.73,28.73,81765,23.08,81.64,2.36,19.03,16.64,0.09
242.,Meghmani Organ.,81.10,2062.49,100.65,5.00,1.00,5.06,85.20,107.33,-4.94,34.54,8.15,1984367,27.90,69.81,0.81,26.12,29.59,0.50
243.,Apollo Tricoat,755.50,2296.72,187.1,8.00,2.00,5.02,793.40,165.74,152.76,208.45,37.09,68452,17.81,2633.46,4.04,26.07,15.99,0.25
244.,Carborundum Uni.,346.95,6573.50,179.27,6.00,1.00,4.84,363.75,337.91,33.23,14.09,24.76,430477,20.21,61.47,1.94,15.14,15.02,0.04
245.,K P R Mill Ltd,805.50,5542.65,580.05,8.00,5.00,4.78,844.00,86.63,3.12,9.01,15.92,22441,20.43,93.04,1.39,20.30,20.11,0.18
246.,Heidelberg Cem.,208.25,4719.22,117.02,9.00,10.00,4.59,217.80,27.50,7.31,52.14,19.48,535482,23.14,76.08,1.78,21.57,18.50,0.23
247.,Lux Industries,1606.50,4056.89,546.73,7.00,2.00,4.58,1680.00,64.31,23.04,28.43,27.56,38228,27.70,45.74,2.94,27.69,27.66,0.11
248.,Dr Lal Pathlabs,2290.50,19090.14,273.91,5.00,10.00,4.56,2395.00,200.35,7.53,13.45,94.04,149949,33.94,56.84,8.36,22.41,22.89,0.00
249.,SRF,5133.65,30414.41,1918.77,6.00,10.00,4.55,5367.20,77.99,4.67,25.07,29.79,323175,13.38,280.96,2.68,22.24,17.96,0.69
250.,Bajaj Auto,3173.55,91832.07,1648.91,6.00,10.00,4.46,3315.15,201.88,-21.62,8.42,21.53,1309969,30.13,1033.52,1.92,23.18,22.22,0.01
251.,ADF Foods,459.80,920.64,240.94,6.00,10.00,4.34,479.75,45.43,37.19,43.50,20.25,59889,23.63,11.70,1.91,22.93,16.36,0.06
252.,Colgate-Palmoliv,1513.70,41170.47,208.53,8.00,1.00,4.31,1578.90,38.35,12.32,12.24,47.02,2043114,70.45,271.81,7.26,53.70,51.15,0.06
253.,Berger Paints,647.75,62910.76,59.79,6.00,1.00,4.28,675.45,1332.81,13.56,14.80,120.71,1239584,27.92,184.23,10.83,25.25,22.81,0.30
254.,Endurance Tech.,1157.00,16274.69,368.19,7.00,10.00,4.14,1204.95,771.33,-1.14,19.11,43.62,184050,22.85,82.79,3.14,19.85,20.55,0.18
255.,Phillips Carbon,166.85,2875.46,166.18,5.00,2.00,4.11,173.70,2228.11,-25.05,60.27,14.11,1353648,19.51,48.03,1.0,16.74,19.91,0.33
256.,Metropolis Healt,2234.40,11419.31,253.5,5.00,2.00,3.97,2323.00,1978.62,40.32,13.60,90.64,167615,42.70,46.94,8.81,30.60,29.96,0.10
257.,Balkrishna Inds,1659.40,32079.05,559.74,5.00,2.00,3.65,1720.00,159.15,15.84,8.61,33.38,2912573,20.24,266.21,2.96,17.07,17.60,0.16
258.,Kellton Tech,53.50,515.65,83.2,6.00,5.00,3.64,55.45,9.82,-14.12,9.95,8.12,1237436,26.82,19.53,0.64,18.92,24.31,0.24
259.,APL Apollo Tubes,3378.90,8430.13,1115.94,6.00,10.00,3.28,3489.60,448.99,71.54,18.95,31.39,65494,20.65,111.84,3.03,22.07,19.86,0.48
260.,Syngene Intl.,577.95,23118.00,110.44,6.00,10.00,3.27,596.85,44.64,12.59,7.11,65.49,755282,16.41,93.97,5.23,17.02,17.65,0.32
261.,Garware Tech.,2227.05,4873.24,690.03,5.00,10.00,3.27,2299.90,150.85,-4.09,18.14,38.47,50958,24.97,31.15,3.23,20.05,20.25,0.19
262.,Granules India,412.55,10216.42,173.05,8.00,1.00,3.02,425.00,46.82,70.82,24.39,24.83,2341942,14.88,141.41,2.38,18.71,16.28,0.40
263.,K E C Intl.,359.50,9242.33,238.7,4.00,2.00,2.81,369.60,101.34,2.47,21.60,16.77,593935,26.72,208.78,1.51,21.63,22.97,0.88
264.,Navin Fluo.Intl.,2687.10,13296.93,786.1,6.00,2.00,2.71,2759.95,21.02,43.24,45.90,30.09,185494,23.33,60.48,3.42,32.67,23.15,0.00
265.,Nestle India,17888.95,172477.59,1068.97,7.00,10.00,2.69,18369.95,20.65,-1.37,25.01,83.25,364419,74.04,651.81,16.73,70.27,49.49,0.08
266.,Deepak Nitrite,865.10,11799.36,364.86,9.00,2.00,2.65,888.00,72.00,13.15,136.56,19.73,1015178,23.33,234.17,2.37,46.57,27.88,0.38
267.,Timken India,1201.45,9037.15,314.76,9.00,10.00,2.28,1228.90,1485.40,0.28,36.32,45.43,47127,21.14,45.02,3.82,16.87,15.50,0.02
268.,Sundram Fasten.,521.55,10959.25,157.56,6.00,1.00,2.26,533.35,483.60,45.30,-1.42,46.34,277107,23.16,38.65,3.31,16.89,23.41,0.34
269.,Maan Aluminium,86.20,58.28,138.76,6.00,10.00,2.09,88.00,108.70,7.01,32.58,8.21,52187,19.29,1.12,0.62,16.29,19.54,0.76
270.,Oriental Aromat.,516.85,1739.39,292.98,8.00,5.00,1.94,526.90,230.28,26.95,50.19,20.40,30659,17.87,21.54,1.76,20.29,15.39,0.03
271.,Alkyl Amines,4015.00,8194.62,915.52,8.00,5.00,1.92,4092.20,24.04,21.49,55.45,37.44,112942,32.38,74.03,4.39,41.99,32.07,0.05
272.,Amara Raja Batt.,946.80,16172.53,413.5,7.00,1.00,1.90,964.80,221.41,-7.95,11.31,28.61,1745801,23.75,185.17,2.29,18.55,16.96,0.02
273.,Emami,440.35,19574.16,80.66,7.00,1.00,1.74,448.00,199.04,23.40,-7.72,59.07,1257860,19.74,110.28,5.46,15.12,16.44,0.11
274.,ICICI Lombard,1451.40,65966.08,325.56,6.00,10.00,1.62,1474.95,4.43,35.02,23.35,47.46,1373731,26.16,438.80,4.46,20.88,19.09,0.07
275.,P & G Health Ltd,6868.10,11401.05,1194.49,6.00,10.00,1.57,6976.00,21.29,65.72,47.91,59.14,35649,44.51,53.05,5.75,20.96,38.30,0.00
276.,Asian Paints,2215.30,212491.09,247.73,8.00,1.00,1.55,2249.60,280.12,1.16,11.10,106.16,4285234,35.00,801.89,8.94,28.20,26.39,0.10
277.,Divi's Lab.,3605.10,95704.08,683.69,4.00,2.00,1.52,3659.90,5.59,45.63,8.83,54.41,2308684,25.31,567.87,5.27,19.18,18.75,0.00
278.,Tech Mahindra,876.85,84803.78,476.94,5.00,5.00,1.50,890.00,9.49,-4.33,11.09,21.99,8056736,24.31,1117.04,1.84,18.49,20.26,0.12
279.,EID Parry,346.80,6138.82,443.73,8.00,1.00,1.37,351.55,983.53,47.94,8.09,5.10,752578,18.62,427.41,0.78,26.77,20.65,0.32
280.,Coromandel Inter,828.35,24287.91,411.51,6.00,1.00,1.28,838.95,135.04,16.87,31.02,18.15,454651,24.12,440.57,2.01,27.85,25.39,0.11
281.,Vaibhav Global,2129.45,6919.81,642.91,7.00,10.00,1.27,2156.50,33.43,44.15,43.00,30.25,47237,27.57,84.75,3.31,26.13,24.53,0.14
282.,Titan Company,1361.20,120845.45,113.16,4.00,1.00,1.08,1375.85,160.14,-44.55,24.48,174.31,3606846,25.12,224.13,12.03,23.43,24.08,0.55
283.,Dixon Technolog.,11879.85,13908.24,1033.25,6.00,10.00,1.00,11999.00,3172.50,21.65,36.01,128.97,79972,31.83,34.65,11.5,26.25,23.03,0.15
284.,Indian Energy Ex,217.70,6521.35,46.46,4.00,1.00,0.73,219.30,8.91,-4.34,19.22,36.42,904874,63.08,46.09,4.69,45.05,45.57,0.00
285.,Kajaria Ceramics,647.90,10298.84,165.48,3.00,1.00,0.32,649.95,428.86,-3.69,-0.35,61.75,321334,22.68,45.68,3.92,15.42,16.42,0.06
